sentence,gold,word,error,collocation,LogDice_wrong,LogDice_right,semantics,pos,paronyms
1,"Мы гуляли по деревне, собирали грибы, когда вдруг дикая змея проползла около нас.",проползла,произошла,змея + проползти,0,"7,74","-0,064",verb,0
2,Примерно полгода моя жизнь была спокойной и безопасной.,спокойной,регулярной,жизнь + спокойная,"5,84","8,42","0,185",adj,0
3,"Высокие каблуки, короткие юбки и яркий макияж стали способами подчёркивать свои женские достоинства. ",яркий,сильный,яркий + макияж,0,"7,33","0,296",adj,0
4,"Люди идут в политику или потому, что они хотят власти и денег, или потому что они хотят решить проблемы в государстве.",решить,уменьшить,решить + проблема,0,"10,57","0,02",verb,0
5,"Наверное, первое домашнее животное вызывает симпатию больше остальных.",вызывает,возбуждает,вызывать + симпатия,"8,85","9,28","0,673",verb,0
6,"Уважаемые работники журнала ""Молодой Москвич"": Меня зовут Иван, я прочитал статью из вашего журнала.",работники,рабочие,работник + журнал,0,"7,54","0,592",noun,1
7,"В детстве я научилась читать по-фински довольно быстро, потому что у меня было сильное желание понимать тексты. ",сильное,значительное,желание + сильный,0,"8,86","0,403",adj,0
8,"Его возможностям, казалось бы, нет предела. ",предела,ограждения,предел + возможность,0,"8,67","0,215",noun,0
9,И я добьюсь своей цели. ,цели,мечты,добиться + цель,0,"8,93","0,217",noun,0
10,"Нам нужен неполный рабочий день для женщин и мужчин, у которых маленькие дети! ",маленькие ,молодые,ребенок.pl + маленький,0,"9,67","0,283",adj,0
11,"После завтрака они гуляли в парке, как обычно.",обычно,нормально,как + обычно,0,"8,51","0,344",adv,0
12,"У нас не было спасательных жилетов, был всего один баллон.",жилетов,жакетов,жилет + спасательный,0,"10,63","0,483",noun,0
13,При первых же недовольствах дворянского сословия всё останавливалось и убиралось в долгий ящик.,долгий,далекий,долгий + ящик,0,"9,33","0,319",adj,0
14,Низкий уровень образования приводит к безработице и замедлению экономики.,замедлению,понижению,замедление + экономика,0,"7,47","0,469",noun,0
15,Качество чистой пресной воды в России значительно уменьшается со временем.,значительно,грандиозно,значительно + уменьшаться,0,"8,69","0,069",adv,0
16,"Люди должны научиться понимать, какое влияние они оказывают на экосистему.",оказывают,производят,оказывать + влияние,"7,55","11,96","0,421",verb,0
17,Радиоактивные отходы попадают в реки России.,отходы,отбросы,радиоактиный + отход,0,"10,52","-0,054",noun,0
18,"Очень важно, что в домах будут установлены лифты и мусоропроводы, что сделает постройки более удобными.",установлены,построены,установить + лифт,0,"6,33","0,289",verb,0
19,"Кроме этого, министр не скрывал свои намерения - он прямо сказал о планах на ближайший год.",скрывал,прятал,скрывать + намерения,0,"8,53","0,4",verb,0
20,"Опираясь на теории Малевича, автор анализирует радикальное искусство современности и прошлого.",современности,актуальности,искусство + современность,0,"6,5","0,386",noun,0
21,Выборы произвели фурор в хорошем и плохом смысле этого слова.,произвели,создали,произвести + фурор,0,"9,51","0,196",verb,0
22,"Многие хотели бы, чтобы правительство приняло жесткие меры по отношению к нарушителям.",жесткие,жестокие,мера + жесткий,"7,62","8,23","0,277",adj,1
23,"Транснациональные корпорации обретают больше власти над государством и национальными предприятиями, что ставит их в выигрышную позицию.",выигрышную,положительную,выигрышный + позиция,0,"7,04","0,126",adj,0
24,"Как раз высшее образование знакомит человека с различными точками зрения, как уже отмечалось.",отмечалось,примечалось,как + отмечаться,0,"4,08","0,147",verb,1
25,Студенческий сленг помог студентам во время знакомства выразить своё мнение.,выразить,отразить,выразить + мнение,"5,23","8,91","0,486",verb,1
26,Иногда у них бывают психологические проблемы.,психологические,психические,психологический + проблема,"7,08","8,71","0,69",adj,1
27,Эти новые виды транспорта оказались лучше для окружающей среды.,виды,методы,вид + транспорт,0,"8,82","0,238",noun,0
28,После стирки одежды она будет ее гладить.,стирки,мытья,стирка + одежда,0,8,"0,618",noun,0
29,Любовь к борьбе за гуманитарные права является непосредственной чертой жителей Америки.,гуманитарные,гуманные,гуманитарный + право,0,"6,52","0,213",adj,1
30,"Но когда шансы появятся, нам необходимо будет рискнуть, зная, что у нас есть знания и навыки, которые помогут нам.",появятся,придут,шанс + появиться,"4,79","8,5","0,166",verb,0
31,"Эти таблетки нужны, чтобы остановить процесс старения и вернуть молодость.",старения,старости,процесс + старение,0,"8,22","0,366",noun,1
32,Неожиданно мотор лодки заглох.,заглох,потух,мотор + заглохнуть,0,"9,79","0,368",verb,0
